method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_rate_1,unique_group_rate_2,mean_unique_groups,mean_intragroup_output_distance,oracle_unique_group_rate_1,oracle_unique_group_rate_2,oracle_mean_unique_groups,oracle_mean_intragroup_output_distance
objective_aware,1.0,23,"[[0,1,2,4,5],[3],[6],[7]]","[5,1,1,1]",4,22280,43256,0.3399658203125,0.6600341796875,1.6600341796875,3.556454873085022,0.441741943359375,0.558258056640625,1.558258056640625,3.645433712005615
legacy_pairwise_hc,1.0,23,"[[0,1,2,4,5],[3],[6],[7]]","[5,1,1,1]",4,22280,43256,0.3399658203125,0.6600341796875,1.6600341796875,3.556454873085022,0.441741943359375,0.558258056640625,1.558258056640625,3.645433712005615
objective_aware,1.0,24,"[[0,2,3,7],[1,4],[5],[6]]","[4,2,1,1]",4,21349,44187,0.3257598876953125,0.6742401123046875,1.6742401123046875,3.4985292639051164,0.4151153564453125,0.5848846435546875,1.5848846435546875,3.576426863670349
legacy_pairwise_hc,1.0,24,"[[0,2,3,7],[1,4],[5],[6]]","[4,2,1,1]",4,21349,44187,0.3257598876953125,0.6742401123046875,1.6742401123046875,3.4985292639051164,0.4151153564453125,0.5848846435546875,1.5848846435546875,3.576426863670349
objective_aware,1.0,25,"[[0],[1],[2,3,5,6,7],[4]]","[5,1,1,1]",4,21257,44279,0.3243560791015625,0.6756439208984375,1.6756439208984375,3.777599048614502,0.4154205322265625,0.5845794677734375,1.5845794677734375,4.068607473373413
legacy_pairwise_hc,1.0,25,"[[0],[1],[2,3,5,6,7],[4]]","[5,1,1,1]",4,21257,44279,0.3243560791015625,0.6756439208984375,1.6756439208984375,3.777599048614502,0.4154205322265625,0.5845794677734375,1.5845794677734375,4.068607473373413
objective_aware,1.0,26,"[[0,2,3,5,7],[1],[4],[6]]","[5,1,1,1]",4,31801,33735,0.4852447509765625,0.5147552490234375,1.5147552490234375,4.250477814674378,0.4852447509765625,0.5147552490234375,1.5147552490234375,4.250477814674378
legacy_pairwise_hc,1.0,26,"[[0,2,3,5,7],[1],[4],[6]]","[5,1,1,1]",4,31801,33735,0.4852447509765625,0.5147552490234375,1.5147552490234375,4.250477814674378,0.4852447509765625,0.5147552490234375,1.5147552490234375,4.250477814674378
objective_aware,1.0,27,"[[0,3,4,6,7],[1],[2],[5]]","[5,1,1,1]",4,22972,42564,0.35052490234375,0.64947509765625,1.64947509765625,5.330825614929199,0.4333953857421875,0.5666046142578125,1.5666046142578125,6.307678651809693
legacy_pairwise_hc,1.0,27,"[[0,3,4,6,7],[1],[2],[5]]","[5,1,1,1]",4,22972,42564,0.35052490234375,0.64947509765625,1.64947509765625,5.330825614929199,0.4333953857421875,0.5666046142578125,1.5666046142578125,6.307678651809693
