model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
qwen,0,1,16,0_vs_05,shared_0_05,True,True,False,0.2515270709991455,1.388009786605835,0.00830078125,0.0735930735930736,1.4169572826587793,1.3828334755757277,1848,136
qwen,0,1,17,0_vs_05,hc_only,True,False,False,0.2768857777118683,1.357204556465149,0.000732421875,0.005512172714745062,1.4304162304939125,nan,2177,12
qwen,0,1,18,05_vs_1,routing_only,False,False,True,0.6700667142868042,1.482512354850769,0.0010986328125,0.008518693800283956,1.4846506845426402,nan,2113,18
qwen,0,1,20,05_vs_1,shared_05_1,True,True,True,0.31568628549575806,1.2759469747543335,0.00604248046875,0.04741379310344827,1.440064940872777,1.4314735947233257,2088,99
qwen,0,1,20,0_vs_05,shared_0_05,True,True,True,0.31568628549575806,1.2759469747543335,0.00604248046875,0.04741379310344827,1.440064940872777,1.4314735947233257,2088,99
qwen,0,1,21,0_vs_05,hc_only,True,False,False,0.2743661105632782,1.3673235177993774,0.0008544921875,0.006872852233676976,1.4322068329587776,nan,2037,14
qwen,0,1,22,0_vs_05,hc_only,True,False,False,0.2706417739391327,1.380562663078308,0.00146484375,0.01218892839004571,1.4279891542518968,nan,1969,24
qwen,0,1,23,05_vs_1,hybrid_only_vs_routing,True,True,False,0.3044028580188751,1.3443636894226074,0.00286865234375,0.02122854561878952,1.4347068356735382,1.4114319111438507,2214,47
qwen,0,1,23,0_vs_05,shared_0_05,True,True,False,0.3044028580188751,1.3443636894226074,0.00286865234375,0.02122854561878952,1.4347068356735382,1.4114319111438507,2214,47
qwen,0,1,24,05_vs_1,shared_05_1,True,True,True,0.2552812099456787,1.360521912574768,0.0050048828125,0.03959439884113954,1.4192574504261026,1.36989849078946,2071,82
qwen,0,1,24,0_vs_05,shared_0_05,True,True,True,0.2552812099456787,1.360521912574768,0.0050048828125,0.03959439884113954,1.4192574504261026,1.36989849078946,2071,82
qwen,0,1,26,05_vs_1,routing_only,False,False,True,0.4802606999874115,1.3817980289459229,0.00177001953125,0.013653483992467044,1.4802590893711298,nan,2124,29
qwen,0,1,27,0_vs_05,hc_only,True,False,False,0.2769569158554077,1.3265777826309204,0.00164794921875,0.013761467889908258,1.4303680589075118,nan,1962,27
qwen,0,1,28,05_vs_1,shared_05_1,False,True,True,0.3546324372291565,1.2901314496994019,0.002197265625,0.015734265734265736,1.4689790581489777,1.5414020518461864,2288,36
qwen,0,1,28,0_vs_05,hybrid_only_vs_hc,False,True,True,0.3546324372291565,1.2901314496994019,0.002197265625,0.015734265734265736,1.4689790581489777,1.5414020518461864,2288,36
qwen,0,1,29,05_vs_1,hybrid_only_vs_routing,True,True,False,0.2609613835811615,1.4088671207427979,0.00244140625,0.01890359168241966,1.430480319182679,1.4215799033641816,2116,40
qwen,0,1,29,0_vs_05,shared_0_05,True,True,False,0.2609613835811615,1.4088671207427979,0.00244140625,0.01890359168241966,1.430480319182679,1.4215799033641816,2116,40
qwen,0,1,30,05_vs_1,hybrid_only_vs_routing,True,True,False,0.2646614909172058,1.3703736066818237,0.00238037109375,0.018731988472622477,1.4281774256575233,1.4121704621192737,2082,39
qwen,0,1,30,0_vs_05,shared_0_05,True,True,False,0.2646614909172058,1.3703736066818237,0.00238037109375,0.018731988472622477,1.4281774256575233,1.4121704621192737,2082,39
qwen,0,1,31,05_vs_1,routing_only,False,False,True,0.5200601816177368,1.4295144081115723,0.00091552734375,0.006864988558352402,1.4937554099739825,nan,2185,15
qwen,0,1,32,0_vs_05,hc_only,True,False,False,0.3395683467388153,1.2956398725509644,0.00128173828125,0.009686346863468635,1.4484126391885905,nan,2168,21
qwen,0,1,34,05_vs_1,shared_05_1,False,True,True,0.35854411125183105,1.2967809438705444,0.00079345703125,0.005919854280510018,1.4463010021029057,nan,2196,13
qwen,0,1,34,0_vs_05,hybrid_only_vs_hc,False,True,True,0.35854411125183105,1.2967809438705444,0.00079345703125,0.005919854280510018,1.4463010021029057,nan,2196,13
qwen,0,1,35,05_vs_1,shared_05_1,True,True,True,0.25676363706588745,1.353486180305481,0.00439453125,0.03310344827586207,1.4222073445374939,1.4160040352079604,2175,72
qwen,0,1,35,0_vs_05,shared_0_05,True,True,True,0.25676363706588745,1.353486180305481,0.00439453125,0.03310344827586207,1.4222073445374939,1.4160040352079604,2175,72
qwen,0,1,37,05_vs_1,routing_only,False,False,True,0.8220146894454956,1.5705137252807617,0.00115966796875,0.008707607699358386,1.5785477600657098,nan,2182,19
qwen,0,1,38,05_vs_1,shared_05_1,False,True,True,0.34510916471481323,1.3359845876693726,0.0030517578125,0.021920210434020166,1.4521266267467936,1.5078346991539002,2281,50
qwen,0,1,38,0_vs_05,hybrid_only_vs_hc,False,True,True,0.34510916471481323,1.3359845876693726,0.0030517578125,0.021920210434020166,1.4521266267467936,1.5078346991539002,2281,50
qwen,0,1,40,05_vs_1,routing_only,False,False,True,0.44665056467056274,1.3729256391525269,0.0042724609375,0.0315173345339937,1.474330729914377,1.4405676569257464,2221,70
qwen,0,1,42,05_vs_1,shared_05_1,False,True,True,0.4653967022895813,1.4272197484970093,0.00152587890625,0.011210762331838564,1.4477106427932533,nan,2230,25
qwen,0,1,42,0_vs_05,hybrid_only_vs_hc,False,True,True,0.4653967022895813,1.4272197484970093,0.00152587890625,0.011210762331838564,1.4477106427932533,nan,2230,25
qwen,0,1,44,05_vs_1,shared_05_1,True,True,True,0.2575569450855255,1.3725651502609253,0.00335693359375,0.02870563674321503,1.4256363094226303,1.396968691999262,1916,55
qwen,0,1,44,0_vs_05,shared_0_05,True,True,True,0.2575569450855255,1.3725651502609253,0.00335693359375,0.02870563674321503,1.4256363094226303,1.396968691999262,1916,55
qwen,0,1,46,05_vs_1,shared_05_1,False,True,True,0.45806849002838135,1.286518931388855,0.017822265625,0.15336134453781514,1.4094032329671524,1.2833600807679844,1904,292
qwen,0,1,46,0_vs_05,hybrid_only_vs_hc,False,True,True,0.45806849002838135,1.286518931388855,0.017822265625,0.15336134453781514,1.4094032329671524,1.2833600807679844,1904,292
qwen,0,1,47,05_vs_1,shared_05_1,True,True,True,0.2808307111263275,1.2655383348464966,0.0048828125,0.039761431411530816,1.4188497094937396,1.3907531961798667,2012,80
qwen,0,1,47,0_vs_05,shared_0_05,True,True,True,0.2808307111263275,1.2655383348464966,0.0048828125,0.039761431411530816,1.4188497094937396,1.3907531961798667,2012,80
qwen,0,1,48,0_vs_05,hc_only,True,False,False,0.27105793356895447,1.326285719871521,0.00103759765625,0.00912506709608159,1.4291624375331549,nan,1863,17
qwen,0,1,49,05_vs_1,shared_05_1,True,True,True,0.30579859018325806,1.3190981149673462,0.00457763671875,0.031725888324873094,1.4411533847073008,1.4471787770589193,2364,75
qwen,0,1,49,0_vs_05,shared_0_05,True,True,True,0.30579859018325806,1.3190981149673462,0.00457763671875,0.031725888324873094,1.4411533847073008,1.4471787770589193,2364,75
