method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_count_3,unique_group_count_4,unique_group_rate_1,unique_group_rate_2,unique_group_rate_3,unique_group_rate_4,mean_unique_groups,mean_intragroup_output_distance,initial_pairwise_same_group_routing_mass
objective_aware,1.0,15,"[[0],[1],[2],[3],[4],[5],[6,7,10,11,13,14,15,16,19,23,25,26,28,33,34,35,36,37,38,40,42,43,45,46,47,48,51,52,53,54,55],[8],[9],[12],[17],[18],[20],[21],[22],[24],[27],[29],[30],[31],[32],[39],[41],[44],[49],[50],[56],[57],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7421,16524,20478,21113,0.1132354736328125,0.25213623046875,0.312469482421875,0.3221588134765625,2.8435516357421875,1.907741718138418,1.748291015625
legacy_pairwise_hc,1.0,15,"[[0],[1],[2],[3],[4],[5],[6,7,10,11,13,14,15,16,19,23,25,26,28,33,34,35,36,37,38,40,42,43,45,46,47,48,51,52,53,54,55],[8],[9],[12],[17],[18],[20],[21],[22],[24],[27],[29],[30],[31],[32],[39],[41],[44],[49],[50],[56],[57],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7421,16524,20478,21113,0.1132354736328125,0.25213623046875,0.312469482421875,0.3221588134765625,2.8435516357421875,1.907741718138418,1.748291015625
objective_aware,1.0,16,"[[0],[1,5,6,10,12,14,15,16,18,20,21,22,25,26,27,28,29,31,32,33,34,36,38,43,44,47,48,51,52,55,57],[2],[3],[4],[7],[8],[9],[11],[13],[17],[19],[23],[24],[30],[35],[37],[39],[40],[41],[42],[45],[46],[49],[50],[53],[54],[56],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,5942,17398,21782,20414,0.090667724609375,0.265472412109375,0.332366943359375,0.311492919921875,2.86468505859375,1.9733143116838188,1.67279052734375
legacy_pairwise_hc,1.0,16,"[[0],[1,5,6,10,12,14,15,16,18,20,21,22,25,26,27,28,29,31,32,33,34,36,38,43,44,47,48,51,52,55,57],[2],[3],[4],[7],[8],[9],[11],[13],[17],[19],[23],[24],[30],[35],[37],[39],[40],[41],[42],[45],[46],[49],[50],[53],[54],[56],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,5942,17398,21782,20414,0.090667724609375,0.265472412109375,0.332366943359375,0.311492919921875,2.86468505859375,1.9733143116838188,1.67279052734375
objective_aware,1.0,17,"[[0,3,6,7,9,13,14,15,16,18,21,24,26,29,31,33,34,40,41,42,44,45,48,50,51,52,54,55,56,57,58],[1],[2],[4],[5],[8],[10],[11],[12],[17],[19],[20],[22],[23],[25],[27],[28],[30],[32],[35],[36],[37],[38],[39],[43],[46],[47],[49],[53],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,9194,14889,17372,24081,0.140289306640625,0.2271881103515625,0.26507568359375,0.3674468994140625,2.85968017578125,2.1300945912638016,1.7883758544921875
legacy_pairwise_hc,1.0,17,"[[0,3,6,7,9,13,14,15,16,18,21,24,26,29,31,33,34,40,41,42,44,45,48,50,51,52,54,55,56,57,58],[1],[2],[4],[5],[8],[10],[11],[12],[17],[19],[20],[22],[23],[25],[27],[28],[30],[32],[35],[36],[37],[38],[39],[43],[46],[47],[49],[53],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,9194,14889,17372,24081,0.140289306640625,0.2271881103515625,0.26507568359375,0.3674468994140625,2.85968017578125,2.1300945912638016,1.7883758544921875
objective_aware,1.0,18,"[[0,2,5,6,8,9,11,12,13,15,16,17,18,21,25,26,29,33,34,40,41,42,44,48,49,54,55,56,57,58,59],[1],[3],[4],[7],[10],[14],[19],[20],[22],[23],[24],[27],[28],[30],[31],[32],[35],[36],[37],[38],[39],[43],[45],[46],[47],[50],[51],[52],[53]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,8645,14440,21135,21316,0.1319122314453125,0.2203369140625,0.3224945068359375,0.32525634765625,2.841094970703125,2.1914526390772995,1.7749786376953125
legacy_pairwise_hc,1.0,18,"[[0,2,5,6,8,9,11,12,13,15,16,17,18,21,25,26,29,33,34,40,41,42,44,48,49,54,55,56,57,58,59],[1],[3],[4],[7],[10],[14],[19],[20],[22],[23],[24],[27],[28],[30],[31],[32],[35],[36],[37],[38],[39],[43],[45],[46],[47],[50],[51],[52],[53]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,8645,14440,21135,21316,0.1319122314453125,0.2203369140625,0.3224945068359375,0.32525634765625,2.841094970703125,2.1914526390772995,1.7749786376953125
objective_aware,1.0,19,"[[0,5,6,7,8,11,12,16,17,20,21,22,24,28,30,31,33,34,35,36,37,38,39,43,47,50,52,54,55,56,59],[1],[2],[3],[4],[9],[10],[13],[14],[15],[18],[19],[23],[25],[26],[27],[29],[32],[40],[41],[42],[44],[45],[46],[48],[49],[51],[53],[57],[58]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,8520,14223,20643,22150,0.1300048828125,0.2170257568359375,0.3149871826171875,0.337982177734375,2.8609466552734375,2.4491676479257563,1.74609375
legacy_pairwise_hc,1.0,19,"[[0,5,6,7,8,11,12,16,17,20,21,22,24,28,30,31,33,34,35,36,37,38,39,43,47,50,52,54,55,56,59],[1],[2],[3],[4],[9],[10],[13],[14],[15],[18],[19],[23],[25],[26],[27],[29],[32],[40],[41],[42],[44],[45],[46],[48],[49],[51],[53],[57],[58]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,8520,14223,20643,22150,0.1300048828125,0.2170257568359375,0.3149871826171875,0.337982177734375,2.8609466552734375,2.4491676479257563,1.74609375
objective_aware,1.0,20,"[[0],[1,2,4,6,7,8,9,10,11,14,16,17,18,21,28,29,30,32,34,39,40,43,45,48,49,50,51,53,56,57,58],[3],[5],[12],[13],[15],[19],[20],[22],[23],[24],[25],[26],[27],[31],[33],[35],[36],[37],[38],[41],[42],[44],[46],[47],[52],[54],[55],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,8339,14644,19528,23025,0.1272430419921875,0.22344970703125,0.2979736328125,0.3513336181640625,2.8733978271484375,2.8614776206272903,1.731781005859375
legacy_pairwise_hc,1.0,20,"[[0],[1,2,4,6,7,8,9,10,11,14,16,17,18,21,28,29,30,32,34,39,40,43,45,48,49,50,51,53,56,57,58],[3],[5],[12],[13],[15],[19],[20],[22],[23],[24],[25],[26],[27],[31],[33],[35],[36],[37],[38],[41],[42],[44],[46],[47],[52],[54],[55],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,8339,14644,19528,23025,0.1272430419921875,0.22344970703125,0.2979736328125,0.3513336181640625,2.8733978271484375,2.8614776206272903,1.731781005859375
objective_aware,1.0,21,"[[0,1,2,4,5,6,9,11,12,17,18,20,22,27,30,33,34,36,38,40,41,43,44,45,47,48,49,51,56,58,59],[3],[7],[8],[10],[13],[14],[15],[16],[19],[21],[23],[24],[25],[26],[28],[29],[31],[32],[35],[37],[39],[42],[46],[50],[52],[53],[54],[55],[57]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,5526,17424,22482,20104,0.084320068359375,0.265869140625,0.343048095703125,0.3067626953125,2.87225341796875,3.3263187610974874,1.646575927734375
legacy_pairwise_hc,1.0,21,"[[0,1,2,4,5,6,9,11,12,17,18,20,22,27,30,33,34,36,38,40,41,43,44,45,47,48,49,51,56,58,59],[3],[7],[8],[10],[13],[14],[15],[16],[19],[21],[23],[24],[25],[26],[28],[29],[31],[32],[35],[37],[39],[42],[46],[50],[52],[53],[54],[55],[57]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,5526,17424,22482,20104,0.084320068359375,0.265869140625,0.343048095703125,0.3067626953125,2.87225341796875,3.3263187610974874,1.646575927734375
