model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
mixtral,8,0,4,05_vs_1,shared_05_1,True,True,True,1.008002519607544,0.6752592921257019,0.02801513671875,0.06164383561643835,1.1365999185427396,1.0738612748439016,7446,459
mixtral,8,0,4,0_vs_05,shared_0_05,True,True,True,1.008002519607544,0.6752592921257019,0.02801513671875,0.06164383561643835,1.1365999185427396,1.0738612748439016,7446,459
mixtral,8,0,5,05_vs_1,routing_only,False,False,True,1.2246239185333252,0.8040282130241394,0.06988525390625,0.14626980071538068,1.1245991368651937,1.0930775043745748,7828,1145
mixtral,8,0,6,05_vs_1,shared_05_1,True,True,True,0.9721459150314331,0.6525174975395203,0.03460693359375,0.07695439739413681,1.1237680565133028,1.1051958298977511,7368,567
mixtral,8,0,6,0_vs_05,shared_0_05,True,True,True,0.9721459150314331,0.6525174975395203,0.03460693359375,0.07695439739413681,1.1237680565133028,1.1051958298977511,7368,567
mixtral,8,0,7,0_vs_05,hc_only,True,False,False,1.1176772117614746,0.6976962685585022,0.03594970703125,0.0750127356087621,1.1616836043565297,1.1264953800494482,7852,589
mixtral,8,1,3,05_vs_1,hybrid_only_vs_routing,False,True,False,1.0646604299545288,0.652750551700592,0.05316162109375,0.1089703490554235,1.1270014141134785,1.0975207234085906,7993,871
mixtral,8,1,3,0_vs_05,hybrid_only_vs_hc,False,True,False,1.0646604299545288,0.652750551700592,0.05316162109375,0.1089703490554235,1.1270014141134785,1.0975207234085906,7993,871
mixtral,8,1,4,05_vs_1,hybrid_only_vs_routing,False,True,False,1.1298980712890625,0.7300266623497009,0.0262451171875,0.058831577507182924,1.1464311401663636,1.118886101523111,7309,430
mixtral,8,1,4,0_vs_05,hybrid_only_vs_hc,False,True,False,1.1298980712890625,0.7300266623497009,0.0262451171875,0.058831577507182924,1.1464311401663636,1.118886101523111,7309,430
mixtral,8,1,6,05_vs_1,hybrid_only_vs_routing,False,True,False,1.0437260866165161,0.6756277084350586,0.035888671875,0.0818827461356357,1.122888594280626,1.1066729703119822,7181,588
mixtral,8,1,6,0_vs_05,hybrid_only_vs_hc,False,True,False,1.0437260866165161,0.6756277084350586,0.035888671875,0.0818827461356357,1.122888594280626,1.1066729703119822,7181,588
mixtral,8,2,4,05_vs_1,routing_only,False,False,True,1.121114730834961,0.7680177092552185,0.0257568359375,0.062214359427981716,1.1451068522742798,1.1123632623403559,6783,422
mixtral,8,2,5,05_vs_1,routing_only,False,False,True,1.1390019655227661,0.7643805742263794,0.06060791015625,0.1364010989010989,1.1268065730294028,1.1029305548106076,7280,993
mixtral,8,2,6,05_vs_1,routing_only,False,False,True,1.0777040719985962,0.7397615909576416,0.021728515625,0.051751708097107135,1.1356143000375776,1.0971851543094335,6879,356
mixtral,8,3,4,05_vs_1,hybrid_only_vs_routing,True,True,False,1.063738226890564,0.6794930100440979,0.04559326171875,0.09909790395330326,1.1354019104817654,1.0866072592007587,7538,747
mixtral,8,3,4,0_vs_05,shared_0_05,True,True,False,1.063738226890564,0.6794930100440979,0.04559326171875,0.09909790395330326,1.1354019104817654,1.0866072592007587,7538,747
mixtral,8,3,6,05_vs_1,hybrid_only_vs_routing,True,True,False,1.0566399097442627,0.6762222051620483,0.04144287109375,0.08892090099528549,1.1273440010826148,1.1003278865203239,7636,679
mixtral,8,3,6,0_vs_05,shared_0_05,True,True,False,1.0566399097442627,0.6762222051620483,0.04144287109375,0.08892090099528549,1.1273440010826148,1.1003278865203239,7636,679
mixtral,8,3,7,0_vs_05,hc_only,True,False,False,1.070002555847168,0.6389302015304565,0.04595947265625,0.09333168071393158,1.1545396546178013,1.1074343425819124,8068,753
mixtral,8,4,5,05_vs_1,routing_only,False,False,True,1.2832053899765015,0.8483739495277405,0.0247802734375,0.05190488366146766,1.139469637342866,1.1207716413613023,7822,406
mixtral,8,4,6,05_vs_1,shared_05_1,True,True,True,0.966164231300354,0.6531336307525635,0.03369140625,0.08315757758360952,1.1203136724964542,1.0890935701520548,6638,552
mixtral,8,4,6,0_vs_05,shared_0_05,True,True,True,0.966164231300354,0.6531336307525635,0.03369140625,0.08315757758360952,1.1203136724964542,1.0890935701520548,6638,552
mixtral,8,4,7,0_vs_05,hc_only,True,False,False,1.1779392957687378,0.7401951551437378,0.034423828125,0.07908020190689849,1.1600685349623272,1.1291215077359626,7132,564
mixtral,8,5,6,05_vs_1,routing_only,False,False,True,1.1654369831085205,0.7720057964324951,0.0355224609375,0.07582073996873372,1.1200952773419688,1.0947959459934038,7676,582
mixtral,8,6,7,0_vs_05,hc_only,True,False,False,1.1970678567886353,0.7536002993583679,0.0174560546875,0.03844086021505377,1.1663200380981609,1.1039053753956214,7440,286
